id_namespace	id	persistent_id	size_in_bytes	sha256	md5	filename
http://www.druggablegenome.net/	achilles_gene_attribute_matrix.txt.gz	https://maayanlab.cloud/static/hdfs/harmonizome/data/achilles/gene_attribute_matrix.txt.gz	245757	8846d82c5572a169b39e16d7f59bc596ae45a545a776ad4d29075edf8c31bdd1	a62f909b4cd51100a4797f89cab45a37	gene_attribute_matrix.txt.gz
http://www.druggablegenome.net/	achilles_gene_attribute_edges.txt.gz	https://maayanlab.cloud/static/hdfs/harmonizome/data/achilles/gene_attribute_edges.txt.gz	827724	41b2791c2e05d48d5c8c2dac7b2d4467d3ddb9f99988d8549b20e32ad042e6ec	2fcf7c735db27e7eb154bcebf6b21d4e	gene_attribute_edges.txt.gz
http://www.druggablegenome.net/	achilles_gene_set_library_up_crisp.gmt.gz	https://maayanlab.cloud/static/hdfs/harmonizome/data/achilles/gene_set_library_up_crisp.gmt.gz	133454	9919f54ff2a79cd9cb358c8c47449217972fdbb03661c0a637dbfb9dbef4b6e4	05fb7e4799b683b36ce357c48250b390	gene_set_library_up_crisp.gmt.gz
http://www.druggablegenome.net/	achilles_gene_set_library_dn_crisp.gmt.gz	https://maayanlab.cloud/static/hdfs/harmonizome/data/achilles/gene_set_library_dn_crisp.gmt.gz	130538	947b4f26d5fb22d2d16418a4337a926334e02298378f2facc465d4b646961266	a5b2218f23bb846842721eee8368cd56	gene_set_library_dn_crisp.gmt.gz
http://www.druggablegenome.net/	achilles_attribute_set_library_up_crisp.gmt.gz	https://maayanlab.cloud/static/hdfs/harmonizome/data/achilles/attribute_set_library_up_crisp.gmt.gz	116770	5707e4772da6150994a86ad976d15ae4b5c564388c81429aca1a0be679db6990	974d93c28f445a3ae7c406ab9bb3160d	attribute_set_library_up_crisp.gmt.gz
http://www.druggablegenome.net/	achilles_attribute_set_library_dn_crisp.gmt.gz	https://maayanlab.cloud/static/hdfs/harmonizome/data/achilles/attribute_set_library_dn_crisp.gmt.gz	116221	3483f25cca814a17b6d2709853755e2f3cddd2f91cf183f1d0c52b2a0770f6d8	ac501fc1e40d685dea6f584ed0e6b76a	attribute_set_library_dn_crisp.gmt.gz
http://www.druggablegenome.net/	achilles_gene_similarity_matrix_cosine.txt.gz	https://maayanlab.cloud/static/hdfs/harmonizome/data/achilles/gene_similarity_matrix_cosine.txt.gz	33458169	b86966cadf1a673b50d7017a7dfb0b341dc6c93e11c351d2cc3abbaa65d8b286	beea14ef79145b64f4f3bb5c163aad8d	gene_similarity_matrix_cosine.txt.gz
http://www.druggablegenome.net/	achilles_attribute_similarity_matrix_cosine.txt.gz	https://maayanlab.cloud/static/hdfs/harmonizome/data/achilles/attribute_similarity_matrix_cosine.txt.gz	153251	532240ce28bf86a150fc528defe4e3edc4b0448a1579b8febef0ccf92ad12a8a	e37288eb7587763b68ceeb1c03015cca	attribute_similarity_matrix_cosine.txt.gz
http://www.druggablegenome.net/	achilles_gene_list_terms.txt.gz	https://maayanlab.cloud/static/hdfs/harmonizome/data/achilles/gene_list_terms.txt.gz	33507	2cc7a446fc24d47479fe34bb3591035bbd22dced0d4a0d809a4ed99b7928d146	0b303ad0e758b76983c678cf71f34ede	gene_list_terms.txt.gz
http://www.druggablegenome.net/	achilles_attribute_list_entries.txt.gz	https://maayanlab.cloud/static/hdfs/harmonizome/data/achilles/attribute_list_entries.txt.gz	1373	263405d98928edb34236fe0f6774cd84b13ad8c37fde5b51e3fdcca3cbcf8e93	96ef80ea1177093a16c2cf49bfe8ab55	attribute_list_entries.txt.gz
